model_name,split,threshold,accuracy,precision,recall,f1,roc_auc,predicted_positive_rate,target_positive_rate,positive_rate_penalty,balanced_score,precision_compromise_score,predicted_positives,false_positives,false_negatives,true_positives,true_negatives,train_val_precision_gap,train_val_f1_gap,train_val_roc_auc_gap,reference_false_positives,false_positive_reduction,false_positive_reduction_rate
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.44,0.5274949083503055,0.43843843843843844,0.7643979057591623,0.5572519083969466,0.6507504363001746,0.6782077393075356,0.3890020366598778,0.2892057026476578,0.5247347467006512,0.48343233221631365,333,187,45,146,113,0.0,0.0,0.0,244,57,0.2336065573770492
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.45,0.5376782077393075,0.4430379746835443,0.7329842931937173,0.5522682445759369,0.6507504363001746,0.6435845213849287,0.3890020366598778,0.2545824847250509,0.5304768945662198,0.48565527482368587,316,176,51,140,124,0.0,0.0,0.0,244,68,0.2786885245901639
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.46,0.5498981670061099,0.44755244755244755,0.6701570680628273,0.5366876310272537,0.6507504363001746,0.5824847250509165,0.3890020366598778,0.19348268839103872,0.535862092487853,0.48569928312218147,286,158,63,128,142,0.0,0.0,0.0,244,86,0.3524590163934426
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.47,0.570264765784114,0.4621212121212121,0.6387434554973822,0.5362637362637362,0.6507504363001746,0.5376782077393075,0.3890020366598778,0.1486761710794297,0.5487795670809609,0.49581263936761316,264,142,69,122,158,0.0,0.0,0.0,244,102,0.4180327868852459
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.48,0.5967413441955194,0.4854771784232365,0.612565445026178,0.5416666666666666,0.6507504363001746,0.4908350305498982,0.3890020366598778,0.10183299389002037,0.5669573095151217,0.5132424018596163,241,124,74,117,176,0.0,0.0,0.0,244,120,0.4918032786885246
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.49,0.6130346232179226,0.5023255813953489,0.5654450261780105,0.5320197044334976,0.6507504363001746,0.4378818737270876,0.3890020366598778,0.048879837067209775,0.5762636763708459,0.5231068914934611,215,107,83,108,193,0.0,0.0,0.0,244,137,0.5614754098360656
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.5,0.6252545824847251,0.5185185185185185,0.5130890052356021,0.5157894736842106,0.6507504363001746,0.384928716904277,0.3890020366598778,0.004073319755600824,0.5804170754671625,0.5311959013298225,189,91,93,98,209,0.0,0.0,0.0,244,153,0.6270491803278688
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.51,0.6354378818737271,0.5344827586206896,0.4869109947643979,0.5095890410958904,0.6507504363001746,0.3543788187372709,0.3890020366598778,0.03462321792260692,0.5761382879835801,0.5411307828836783,174,81,98,93,219,0.0,0.0,0.0,244,163,0.6680327868852459
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.52,0.6537678207739308,0.5686274509803921,0.45549738219895286,0.5058139534883721,0.6507504363001746,0.31160896130346233,0.3890020366598778,0.07739307535641549,0.5738141389360947,0.5642770500139663,153,66,104,87,234,0.0,0.0,0.0,244,178,0.7295081967213115
poly_logreg_l2_C0p01_cwbalanced_missing_on_interactions,validation,0.53,0.6537678207739308,0.5766423357664233,0.41361256544502617,0.4817073170731707,0.6507504363001746,0.2790224032586558,0.3890020366598778,0.10997963340122202,0.5579296787109009,0.5650661420811479,137,58,112,79,242,0.0,0.0,0.0,244,186,0.7622950819672131
